"country","study","max_depth_cm","Items_kg","latitude","longitude","HFI","elevation_m","soil_type","x","y"
"China","1",5,19154.56,39.907,116.431,46,44.6791610717773,7571.38134765625,9896627.31668006,4779001.36536757
"China","1",5,7331.57,39.87,116.386,46.0089988708496,47.7410621643066,7001,9896143.39928831,4774863.14188224
"China","1",5,5355.36,39.906,116.348,46,55.0092964172363,7001,9889662.63612496,4778889.53248549
"China","1",5,16017.96,39.948,116.392,46,49.9401092529297,7001,9889605.94033582,4783585.98716819
"China","1",5,11118.49,39.913,116.469,46.1879997253418,41.271800994873,7001,9899314.81542291,4779672.34982617
"China","1",5,7800,39.856,116.392,38.0390014648438,46.1965103149414,7001,9897916.9556978,4773297.10960961
"China","1",5,14043.26,39.905,116.303,46,62.6763381958008,7272.31884765625,9885927.88075689,4778777.69899233
"China","1",5,29720.28,39.967,116.388,38.0279998779297,49.3139533996582,7001,9887547.14245726,4785710.2193345
"China","1",5,15637.45,39.915,116.484,46.2680015563965,39.8859710693359,7001,9900408.86877766,4779896.00642287
"China","1",5,38367.08,39.832,116.396,46.1319999694824,43.3891181945801,7374.59521484375,9900421.87541901,4770612.20462748
"China","1",5,8253.23,39.896,116.251,46,81.0025177001953,7001,9882319.81961174,4777771.17005776
"China","1",5,13856.93,39.988,116.395,38.1199989318848,46.771053314209,7001,9886240.80873535,4788057.79777386
"China","1",5,23873.87,39.908,116.534,46.7050018310547,35.2652816772461,7789.15966796875,9905291.8490861,4779113.19763854
"China","1",5,23184.54,39.759,116.396,30.6100006103516,38.3183288574219,9686.2109375,9906997.70580221,4762443.46070009
"China","1",5,7366.67,39.896,116.219,46,94.6981201171875,7001,9879599.54852393,4777771.17005776
"China","1",5,9664.5,40.02,116.395,38.1959991455078,46.5995941162109,11147.580078125,9883341.96094698,4791634.54067634
"China","1",5,13929.11,39.913,116.42,38,46.0337867736816,7001,9895150.04689261,4779672.34982617
"China","1",5,27140.71,39.909,116.412,46,46.6263771057129,7001,9894831.58330155,4779225.02929838
"China","1",5,124086.13,39.908,116.37,46,52.0825042724609,7235.77685546875,9891351.98721531,4779113.19763854
"China","1",5,14185.46,39.906,116.356,46,53.8484573364258,7001,9890342.64180696,4778889.53248549
"China","1",5,31947.92,39.907,116.34,38,56.2933883666992,7001,9888892.32268518,4779001.36536757
"Korea","2",5,240,37.4266,127.4154,4.29300022125244,202.505981445312,4277,11067440.4948931,4499776.3266915
"Korea","2",5,20,37.42649,127.4387,16.5949993133545,196.67643737793,4277,11069474.5157208,4499763.86425512
"Korea","2",5,1440,37.40118,127.4355,24.9720001220703,185.431655883789,4277,11071532.7884447,4496896.18821177
"Korea","2",5,1580,37.42253,127.4631,22.3619995117188,188.648971557617,4277,11071959.64477,4499315.21196718
"Korea","2",5,2140,37.40056,127.4631,21.6310005187988,177.979965209961,4277,11073987.8827658,4496825.93634762
"Korea","2",5,3180,37.37977,127.4628,12.3219995498657,165.011703491211,4277,11075879.9464078,4494470.10638342
"Korea","2",5,1140,37.41847,127.49,17.7549991607666,178.804534912109,4277,11074671.2754511,4498855.22082697
"Korea","2",5,280,37.40412,127.4918,11.8319997787476,164.436141967773,4277,11076152.6956907,4497229.31504799
"Korea","2",5,620,37.37857,127.49,22.7040004730225,149.845687866211,4277,11078354.1937249,4494334.12025451
"Korea","2",5,0,37.35682,127.4896,12.7320003509521,141.519805908203,4277,11080325.2699708,4491869.23009653
"Korea","2",5,380,37.42344,127.5181,13.2729997634888,171.169540405273,4277,11076653.0933711,4499418.312145
"Korea","2",5,2180,37.39944,127.5199,25.1520004272461,143.2509765625,4277,11079026.0727542,4496699.02920114
"Korea","2",5,740,37.3797,127.5186,29.9009990692139,135.149765014648,4277,11080735.1466288,4494462.17388167
"Korea","2",5,180,37.35607,127.5178,21.1760005950928,131.618255615234,4277,11082845.33692,4491784.22909927
"Korea","2",5,620,37.33507,127.5193,26.0790004730225,122.631317138672,4277,11084911.6010008,4489404.07172042
"Korea","2",5,1720,37.39974,127.5461,19.9570007324219,127.779747009277,4277,11081274.6445717,4496733.02225664
"Korea","2",5,1280,37.38615,127.5491,26.5830001831055,128.69172668457,4277,11082790.0756392,4495193.08558219
"Korea","2",5,480,37.35707,127.545,20.9790000915527,125.711036682129,4277,11085117.1141645,4491897.56369141
"Korea","2",5,1320,37.33456,127.545,26.4909992218018,111.438591003418,4277,11087192.642894,4489346.26478983
"Korea","2",5,1280,37.31263,127.5463,18.0069999694824,103.337608337402,4277,11089326.4365554,4486860.42738904
"Korea","2",5,200,37.29402,127.5464,31.6809997558594,104.309371948242,4277,11091048.9982471,4484750.70927041
"Korea","2",5,3420,37.27027,127.5455,21.1979999542236,95.7757415771484,4277,11093156.6274803,4482058.01164968
"Korea","2",5,640,37.24729,127.5446,16.3850002288818,97.2714309692383,4277,11095191.9444647,4479452.31048067
"Korea","2",5,260,37.22683,127.5455,22.5930004119873,100.171058654785,4277,11097150.8958044,4477132.100859
"Korea","2",5,640,37.20457,127.5448,36.7599983215332,104.731834411621,6115.6259765625,11099134.8434857,4474607.49869561
"Korea","2",5,960,37.18206,127.5482,27.9209995269775,111.009140014648,4277,11101497.2630423,4472054.25857087
"Korea","2",5,280,37.40146,127.5732,18.0130004882812,129.211791992188,4277,11083470.2319103,4496927.91478855
"Korea","2",5,100,37.37873,127.5734,28.0919990539551,129.910995483398,4277,11085586.539224,4494352.25178557
