"","DOI","country","study_num","max_depth_cm","Items_kg","latitude","longitude"
"1","https://doi.org/10.1016/j.envpol.2022.119121","China","1",5,19154.56,39.907,116.431
"2","https://doi.org/10.1016/j.envpol.2022.119121","China","1",5,7331.57,39.87,116.386
"3","https://doi.org/10.1016/j.envpol.2022.119121","China","1",5,5355.36,39.906,116.348
"4","https://doi.org/10.1016/j.envpol.2022.119121","China","1",5,16017.96,39.948,116.392
"5","https://doi.org/10.1016/j.envpol.2022.119121","China","1",5,11118.49,39.913,116.469
"6","https://doi.org/10.1016/j.envpol.2022.119121","China","1",5,7800,39.856,116.392
"7","https://doi.org/10.1016/j.envpol.2022.119121","China","1",5,14043.26,39.905,116.303
"8","https://doi.org/10.1016/j.envpol.2022.119121","China","1",5,29720.28,39.967,116.388
"9","https://doi.org/10.1016/j.envpol.2022.119121","China","1",5,15637.45,39.915,116.484
"10","https://doi.org/10.1016/j.envpol.2022.119121","China","1",5,38367.08,39.832,116.396
"11","https://doi.org/10.1016/j.envpol.2022.119121","China","1",5,8253.23,39.896,116.251
"12","https://doi.org/10.1016/j.envpol.2022.119121","China","1",5,13856.93,39.988,116.395
"13","https://doi.org/10.1016/j.envpol.2022.119121","China","1",5,23873.87,39.908,116.534
"14","https://doi.org/10.1016/j.envpol.2022.119121","China","1",5,23184.54,39.759,116.396
"15","https://doi.org/10.1016/j.envpol.2022.119121","China","1",5,7366.67,39.896,116.219
"16","https://doi.org/10.1016/j.envpol.2022.119121","China","1",5,9664.5,40.02,116.395
"17","https://doi.org/10.1016/j.envpol.2022.119121","China","1",5,13929.11,39.913,116.42
"18","https://doi.org/10.1016/j.envpol.2022.119121","China","1",5,27140.71,39.909,116.412
"19","https://doi.org/10.1016/j.envpol.2022.119121","China","1",5,124086.13,39.908,116.37
"20","https://doi.org/10.1016/j.envpol.2022.119121","China","1",5,14185.46,39.906,116.356
"21","https://doi.org/10.1016/j.envpol.2022.119121","China","1",5,31947.92,39.907,116.34
"22","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,240,37.4266,127.4154
"23","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,20,37.42649,127.4387
"24","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,1440,37.40118,127.4355
"25","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,1580,37.42253,127.4631
"26","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,2140,37.40056,127.4631
"27","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,3180,37.37977,127.4628
"28","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,1140,37.41847,127.49
"29","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,280,37.40412,127.4918
"30","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,620,37.37857,127.49
"31","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,0,37.35682,127.4896
"32","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,380,37.42344,127.5181
"33","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,2180,37.39944,127.5199
"34","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,740,37.3797,127.5186
"35","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,180,37.35607,127.5178
"36","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,620,37.33507,127.5193
"37","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,1720,37.39974,127.5461
"38","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,1280,37.38615,127.5491
"39","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,480,37.35707,127.545
"40","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,1320,37.33456,127.545
"41","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,1280,37.31263,127.5463
"42","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,200,37.29402,127.5464
"43","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,3420,37.27027,127.5455
"44","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,640,37.24729,127.5446
"45","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,260,37.22683,127.5455
"46","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,640,37.20457,127.5448
"47","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,960,37.18206,127.5482
"48","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,280,37.40146,127.5732
"49","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,100,37.37873,127.5734
"50","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,820,37.35979,127.5753
"51","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,820,37.33506,127.576
"52","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,60,37.31442,127.5742
"53","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,500,37.29144,127.5733
"54","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,220,37.27063,127.5742
"55","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,180,37.24814,127.5739
"56","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,0,37.22598,127.5736
"57","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,100,37.19959,127.577
"58","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,320,37.3997,127.6037
"59","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,660,37.38001,127.6006
"60","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,440,37.35823,127.6013
"61","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,180,37.33674,127.6081
"62","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,1320,37.31597,127.6002
"63","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,680,37.29292,127.6059
"64","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,2480,37.27065,127.6032
"65","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,220,37.25027,127.599
"66","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,80,37.22527,127.6007
"67","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,540,37.20208,127.6016
"68","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,80,37.40188,127.6298
"69","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,360,37.37685,127.6304
"70","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,240,37.35715,127.6301
"71","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,200,37.3349,127.6282
"72","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,480,37.31297,127.6293
"73","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,180,37.29221,127.6305
"74","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,160,37.2695,127.6309
"75","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,340,37.24855,127.6301
"76","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,60,37.22846,127.6315
"77","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,680,37.20295,127.6305
"78","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,1500,37.18257,127.6297
"79","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,80,37.39899,127.656
"80","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,220,37.37793,127.661
"81","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,260,37.35948,127.6576
"82","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,300,37.33618,127.6582
"83","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,380,37.31416,127.6573
"84","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,220,37.29138,127.6583
"85","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,140,37.2712,127.6566
"86","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,1020,37.24718,127.6594
"87","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,500,37.22742,127.6569
"88","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,3440,37.20418,127.6591
"89","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,260,37.18289,127.6556
"90","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,400,37.1611,127.657
"91","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,220,37.38011,127.6826
"92","https://doi.org/10.1007/s11368-020-02759-0","Korea","2",5,400,37.35752,127.6855
