,Country,Items_kg,HWSD2_SMU_ID,Predictions,soil_type_code,WRB2_code,soil_type,soil_abbr,Study
1,China,19154.56,7383,21422.42133,7383,8,Cambisols,CM,1
2,China,7331.57,7148,23732.14827,7148,27,Retisols,RT,1
3,China,5355.36,7001,22052.84271,7001,31,Technosols,TC,1
4,China,16017.96,7001,21977.04811,7001,31,Technosols,TC,1
5,China,11118.49,7001,19797.62076,7001,31,Technosols,TC,1
6,China,7800,7001,23061.27749,7001,31,Technosols,TC,1
7,China,14043.26,7871,23302.89731,7871,18,Leptosols,LP,1
8,China,29720.28,7001,21778.21931,7001,31,Technosols,TC,1
9,China,15637.45,7001,19030.3945,7001,31,Technosols,TC,1
10,China,38367.08,7363,22247.79848,7363,8,Cambisols,CM,1
11,China,8253.23,7001,24584.50804,7001,31,Technosols,TC,1
12,China,13856.93,7001,22902.26653,7001,31,Technosols,TC,1
13,China,23873.87,7359,18839.08979,7359,8,Cambisols,CM,1
14,China,23184.54,9731,20462.16861,9731,26,Regosols,RG,1
15,China,7366.67,7001,27713.37297,7001,31,Technosols,TC,1
16,China,9664.5,11283,19277.86315,11283,13,Gleysols,GL,1
17,China,13929.11,7001,20896.81871,7001,31,Technosols,TC,1
18,China,27140.71,7001,20896.81871,7001,31,Technosols,TC,1
19,China,124086.13,7276,22754.9981,7276,8,Cambisols,CM,1
20,China,14185.46,7001,22581.01677,7001,31,Technosols,TC,1
21,China,31947.92,7001,21812.62659,7001,31,Technosols,TC,1
22,Korea,240,4277,717.3731169,4277,1,Acrisols,AC,2
23,Korea,20,4277,705.8012428,4277,1,Acrisols,AC,2
24,Korea,1440,4277,632.2006405,4277,1,Acrisols,AC,2
25,Korea,1580,4277,653.9901822,4277,1,Acrisols,AC,2
26,Korea,2140,4277,725.0928629,4277,1,Acrisols,AC,2
27,Korea,3180,4277,749.2458094,4277,1,Acrisols,AC,2
28,Korea,1140,4277,706.8002108,4277,1,Acrisols,AC,2
29,Korea,280,4277,714.6832436,4277,1,Acrisols,AC,2
30,Korea,620,4277,709.644671,4277,1,Acrisols,AC,2
31,Korea,0,4277,670.8892943,4277,1,Acrisols,AC,2
32,Korea,380,4277,647.2234784,4277,1,Acrisols,AC,2
33,Korea,2180,4277,656.562296,4277,1,Acrisols,AC,2
34,Korea,740,4277,670.2796267,4277,1,Acrisols,AC,2
35,Korea,180,4277,689.7244472,4277,1,Acrisols,AC,2
36,Korea,620,4277,716.3316136,4277,1,Acrisols,AC,2
37,Korea,1720,4277,662.926506,4277,1,Acrisols,AC,2
38,Korea,1280,4277,676.5448607,4277,1,Acrisols,AC,2
39,Korea,480,4277,689.3759761,4277,1,Acrisols,AC,2
40,Korea,1320,4277,721.4163866,4277,1,Acrisols,AC,2
41,Korea,1280,4277,699.3277971,4277,1,Acrisols,AC,2
42,Korea,200,4277,701.2506989,4277,1,Acrisols,AC,2
43,Korea,3420,4277,690.4986153,4277,1,Acrisols,AC,2
44,Korea,640,4277,780.2688321,4277,1,Acrisols,AC,2
45,Korea,260,4277,761.7660019,4277,1,Acrisols,AC,2
46,Korea,640,5395,701.3713274,5395,NA,Acrisols,AC,2
47,Korea,960,4277,852.6268203,4277,1,Acrisols,AC,2
48,Korea,280,4277,664.3313628,4277,1,Acrisols,AC,2
49,Korea,100,4277,730.8044054,4277,1,Acrisols,AC,2
50,Korea,820,4277,690.5026118,4277,1,Acrisols,AC,2
51,Korea,820,4277,769.8320023,4277,1,Acrisols,AC,2
52,Korea,60,4277,716.2686193,4277,1,Acrisols,AC,2
53,Korea,500,4277,710.1272729,4277,1,Acrisols,AC,2
54,Korea,220,4277,732.0092616,4277,1,Acrisols,AC,2
55,Korea,180,4277,770.2860982,4277,1,Acrisols,AC,2
56,Korea,0,4277,702.003321,4277,1,Acrisols,AC,2
57,Korea,100,4277,692.529017,4277,1,Acrisols,AC,2
58,Korea,320,4277,676.5269433,4277,1,Acrisols,AC,2
59,Korea,660,4277,699.1929333,4277,1,Acrisols,AC,2
60,Korea,440,4277,692.3654247,4277,1,Acrisols,AC,2
61,Korea,180,4277,685.4312775,4277,1,Acrisols,AC,2
62,Korea,1320,4277,686.6384672,4277,1,Acrisols,AC,2
63,Korea,680,4277,728.247448,4277,1,Acrisols,AC,2
64,Korea,2480,4277,736.0702347,4277,1,Acrisols,AC,2
65,Korea,220,5336,756.4146287,5336,NA,Acrisols,AC,2
66,Korea,80,4277,687.8663034,4277,1,Acrisols,AC,2
67,Korea,540,4277,750.2464088,4277,1,Acrisols,AC,2
68,Korea,80,4277,712.6664553,4277,1,Acrisols,AC,2
69,Korea,360,4277,688.4996955,4277,1,Acrisols,AC,2
70,Korea,240,4277,676.4819378,4277,1,Acrisols,AC,2
71,Korea,200,4277,684.5051064,4277,1,Acrisols,AC,2
72,Korea,480,4277,857.9609637,4277,1,Acrisols,AC,2
73,Korea,180,4918,761.7109039,4918,22,Phaeozems,PH,2
74,Korea,160,4277,833.0170296,4277,1,Acrisols,AC,2
75,Korea,340,4277,698.6201529,4277,1,Acrisols,AC,2
76,Korea,60,4277,687.1255276,4277,1,Acrisols,AC,2
77,Korea,680,4277,688.8127583,4277,1,Acrisols,AC,2
78,Korea,1500,4277,690.1767647,4277,1,Acrisols,AC,2
79,Korea,80,4277,676.8836067,4277,1,Acrisols,AC,2
80,Korea,220,4277,667.7408283,4277,1,Acrisols,AC,2
81,Korea,260,4277,661.2478595,4277,1,Acrisols,AC,2
82,Korea,300,4277,667.2879003,4277,1,Acrisols,AC,2
83,Korea,380,4277,699.3511544,4277,1,Acrisols,AC,2
84,Korea,220,4277,763.5546759,4277,1,Acrisols,AC,2
85,Korea,140,4277,733.5653651,4277,1,Acrisols,AC,2
86,Korea,1020,4277,752.4390636,4277,1,Acrisols,AC,2
87,Korea,500,4277,693.9278309,4277,1,Acrisols,AC,2
88,Korea,3440,4277,689.1571672,4277,1,Acrisols,AC,2
89,Korea,260,4277,683.2342805,4277,1,Acrisols,AC,2
90,Korea,400,4277,683.8074283,4277,1,Acrisols,AC,2
91,Korea,220,4277,648.7223513,4277,1,Acrisols,AC,2
92,Korea,400,4277,651.0089811,4277,1,Acrisols,AC,2
93,Korea,720,4277,657.5966284,4277,1,Acrisols,AC,2
94,Korea,1380,4277,674.8191278,4277,1,Acrisols,AC,2
95,Korea,640,4277,729.0147866,4277,1,Acrisols,AC,2
96,Korea,100,4277,711.9655319,4277,1,Acrisols,AC,2
97,Korea,100,4277,710.548595,4277,1,Acrisols,AC,2
98,Korea,1980,4277,706.5463003,4277,1,Acrisols,AC,2
99,Korea,500,4277,681.5465617,4277,1,Acrisols,AC,2
100,Korea,1240,4277,737.2712522,4277,1,Acrisols,AC,2
101,Korea,60,4277,751.8731328,4277,1,Acrisols,AC,2
102,Korea,100,4313,756.8747799,4313,NA,Acrisols,AC,2
103,Korea,120,4277,670.4910246,4277,1,Acrisols,AC,2
104,Korea,1020,4277,684.8201757,4277,1,Acrisols,AC,2
105,Korea,260,4277,676.3442394,4277,1,Acrisols,AC,2
106,Korea,580,4277,665.7598308,4277,1,Acrisols,AC,2
107,Korea,220,4277,661.6230533,4277,1,Acrisols,AC,2
108,Korea,1120,4277,681.5372903,4277,1,Acrisols,AC,2
109,Korea,680,4277,714.87191,4277,1,Acrisols,AC,2
110,Korea,260,4277,719.3559263,4277,1,Acrisols,AC,2
111,Korea,1760,4277,758.5650739,4277,1,Acrisols,AC,2
112,Korea,1000,4277,655.2162195,4277,1,Acrisols,AC,2
113,Korea,980,4277,689.1940058,4277,1,Acrisols,AC,2
114,Korea,80,4277,718.2365614,4277,1,Acrisols,AC,2
115,Korea,1120,4277,678.7994646,4277,1,Acrisols,AC,2
116,Korea,2620,4277,668.4302501,4277,1,Acrisols,AC,2
117,Korea,520,4277,695.1397674,4277,1,Acrisols,AC,2
118,Korea,160,4277,643.8864672,4277,1,Acrisols,AC,2
119,Korea,1220,4277,730.3523124,4277,1,Acrisols,AC,2
120,Korea,0,4277,713.0550833,4277,1,Acrisols,AC,2
121,Korea,420,4277,640.1145305,4277,1,Acrisols,AC,2
122,China,6075,11598,2655.463399,11598,28,Solonchaks,SC,3
123,China,1925,11486,2519.517422,11486,10,Fluvisols,FL,3
124,China,2750,11486,2509.677577,11486,10,Fluvisols,FL,3
125,China,1925,11486,2467.024613,11486,10,Fluvisols,FL,3
126,China,2400,11486,2695.960154,11486,10,Fluvisols,FL,3
127,China,1200,11842,2296.588112,11842,2,Alisols,AL,3
128,China,1225,11613,2396.647719,11613,5,Anthrosols,AT,3
129,China,925,11858,2653.747639,11858,19,Luvisols,LV,3
130,China,1925,11792,2809.928742,11792,32,Umbrisols,UM,3
131,China,2325,11796,2862.093447,11796,32,Umbrisols,UM,3
132,China,3200,11650,2936.788473,11650,5,Anthrosols,AT,3
133,China,4725,11781,3070.75603,11781,11,Umbrisols,UM,3
134,China,2475,11692,2948.423886,11692,5,Anthrosols,AT,3
135,China,2400,11765,2988.380357,11765,9,Cryosols,CR,3
136,China,3850,11755,2985.949649,11755,18,Leptosols,LP,3
137,China,5575,11702,3027.470212,11702,5,Anthrosols,AT,3
138,China,1725,11656,2604.433246,11656,5,Anthrosols,AT,3
139,China,1850,11656,2604.433246,11656,5,Anthrosols,AT,3
140,China,4200,11598,2215.765059,11598,28,Solonchaks,SC,3
141,China,3275,11486,2102.329361,11486,10,Fluvisols,FL,3
142,China,2100,11486,2094.118822,11486,10,Fluvisols,FL,3
143,China,2075,11486,2058.528444,11486,10,Fluvisols,FL,3
144,China,2375,11486,2249.556259,11486,10,Fluvisols,FL,3
